#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
22101  37.24   126.02  2021 05 25 23 00 150   7.0    MM   MM  MM   MM  MM     MM    MM  14.4  13.0    MM   MM     MM
22102  34.79   125.78  2021 05 25 23 00 150   4.0    MM   MM  MM   MM  MM     MM    MM  15.3  14.5    MM   MM     MM
22103  34.00   127.50  2021 05 25 23 00  10   1.0    MM   MM  MM   MM  MM     MM    MM  16.4  16.2    MM   MM     MM
22104  34.77   128.90  2021 05 25 23 00  80   1.0    MM   MM  MM   MM  MM     MM    MM  17.2  17.6    MM   MM     MM
22105  37.54   130.00  2021 05 25 23 00 210   4.0    MM   MM  MM   MM  MM     MM    MM  17.8  17.3    MM   MM     MM
22106  36.35   129.78  2021 05 25 23 00 250   5.0    MM   MM  MM   MM  MM     MM    MM  17.3  17.8    MM   MM     MM
22107  33.08   126.03  2021 05 25 23 00 140   4.0    MM   MM  MM   MM  MM     MM    MM  20.3  18.7    MM   MM     MM
22108  36.25   125.75  2021 05 25 23 00 180   7.0    MM   MM  MM   MM  MM     MM    MM  16.3  15.0    MM   MM     MM
32ST0 -22.000  -85.000 2021 05 25 22 30 130   8.0    MM   MM  MM   MM  MM 1018.6    MM  20.0  20.6  15.2   MM     MM
41008  31.400  -80.866 2021 05 25 22 50 180   7.0   8.0  0.6  10  3.3 106 1021.3  -1.4  24.3  24.9  22.3   MM     MM
41009  28.508  -80.185 2021 05 25 23 20  MM   5.0   6.0   MM  MM   MM  MM 1021.9    MM    MM  26.2    MM   MM     MM
41010  28.878  -78.485 2021 05 25 23 20  90   4.0   5.0   MM  MM   MM  MM 1023.3    MM  25.0    MM  19.5   MM     MM
41013  33.441  -77.764 2021 05 25 23 20 200   4.0   5.0   MM  MM   MM  MM 1021.0    MM    MM  23.5    MM   MM     MM
41024  33.837  -78.477 2021 05 25 23 08 220   4.0   6.0   MM  MM   MM  MM 1022.5    MM  23.9  24.3    MM   MM     MM
41033  32.279  -80.406 2021 05 25 23 08 170   7.0   9.0   MM  MM   MM  MM 1021.0    MM  24.2  24.8    MM   MM     MM
41037  33.988  -77.362 2021 05 25 23 08 180   3.0   4.0   MM  MM   MM  MM 1021.5    MM  24.7  25.4    MM   MM     MM
41038  34.141  -77.715 2021 05 25 23 08 180   3.0   5.0   MM  MM   MM  MM 1021.8    MM  24.1  23.9    MM   MM     MM
41040  14.541  -53.323 2021 05 25 23 20  60   8.0  10.0   MM  MM   MM  MM 1017.7    MM  26.0  27.1  22.5   MM     MM
41041  14.453  -46.327 2021 05 25 23 20  70   8.0  10.0   MM  MM   MM  MM 1018.4    MM  26.2  26.0  23.8   MM     MM
41043  21.030  -64.790 2021 05 25 23 20  60   5.0   7.0   MM  MM   MM  MM 1020.0    MM  26.8  26.9  22.8   MM     MM
41044  21.582  -58.630 2021 05 25 23 20  80   5.0   7.0   MM  MM   MM  MM 1020.8    MM  26.4  27.2    MM   MM     MM
41046  23.822  -68.384 2021 05 25 23 20  60   6.0   7.0   MM  MM   MM  MM 1021.6    MM  25.5  26.6  20.3   MM     MM
41048  31.831  -69.573 2021 05 25 23 20  50   6.0   7.0   MM  MM   MM  MM 1024.2    MM  21.3  22.1  18.6   MM     MM
41049  27.490  -62.938 2021 05 25 23 20  10   2.0   4.0   MM  MM   MM  MM     MM    MM    MM  25.8    MM   MM     MM
41052  18.249  -64.763 2021 05 25 23 00  70   6.0   7.0  1.0   6   MM 106 1016.9  +0.7  28.1  27.8    MM   MM     MM
41108  33.722  -78.016 2021 05 25 23 00  MM    MM    MM  0.6   9  4.4  87     MM    MM    MM  23.4    MM   MM     MM
41110  34.142  -77.715 2021 05 25 23 07  MM    MM    MM  0.7  11  5.2  91     MM    MM    MM  23.8    MM   MM     MM
41112  30.709  -81.292 2021 05 25 23 00  MM    MM    MM  0.7   4  3.2 158     MM    MM  24.3  24.2    MM   MM     MM
41113  28.400  -80.533 2021 05 25 22 56  MM    MM    MM  0.6  10   MM  MM     MM    MM    MM  25.9    MM   MM     MM
41114  27.551  -80.217 2021 05 25 23 26  MM    MM    MM  0.8  10  4.1  65     MM    MM    MM  26.1    MM   MM     MM
41115  18.376  -67.280 2021 05 25 22 56  MM    MM    MM  1.0  10   MM  MM     MM    MM    MM  28.0    MM   MM     MM
41159  34.213  -76.949 2021 05 25 22 26  MM    MM    MM  1.0  11   MM  MM     MM    MM    MM  25.2    MM   MM     MM
41NT0  15.000  -51.000 2021 05 25 22 30  80   7.0    MM   MM  MM   MM  MM 1016.8    MM  26.0  26.4  22.2   MM     MM
42001  25.942  -89.657 2021 05 25 23 20 100   6.0   7.0   MM  MM   MM  MM 1019.1    MM  26.9  26.9  22.8   MM     MM
42002  26.055  -93.646 2021 05 25 23 20  MM   5.0   6.0   MM  MM   MM  MM 1018.0    MM  25.8  25.8  22.5   MM     MM
42003  25.925  -85.615 2021 05 25 23 20  90   6.0   8.0   MM  MM   MM  MM 1019.5    MM  26.1  27.6  20.4   MM     MM
42012  30.060  -87.548 2021 05 25 23 20 140   4.0   4.0   MM  MM   MM  MM 1021.9    MM  25.1  26.0    MM   MM     MM
42013  27.173  -82.924 2021 05 25 22 30 300   3.0   4.0   MM  MM   MM  MM     MM    MM  26.2  26.0    MM   MM     MM
42019  27.910  -95.345 2021 05 25 23 20 130   6.0   8.0   MM  MM   MM  MM 1016.8    MM  25.8  25.6  23.9   MM     MM
42022  27.505  -83.741 2021 05 25 22 30 280   3.0   3.0   MM  MM   MM  MM 1021.6    MM    MM  25.5    MM   MM     MM
42023  26.010  -83.086 2021 05 25 22 30 180   1.0   1.0   MM  MM   MM  MM 1020.9    MM    MM  26.0    MM   MM     MM
42026  25.171  -83.475 2021 05 25 22 30 100   5.0   7.0   MM  MM   MM  MM 1020.5    MM  26.1  26.0    MM   MM     MM
42035  29.215  -94.429 2021 05 25 23 20 140   6.0   8.0   MM  MM   MM  MM 1016.9    MM  25.7  25.8    MM   MM     MM
42036  28.501  -84.508 2021 05 25 23 20 220   2.0   3.0   MM  MM   MM  MM 1020.8    MM  25.2  25.8  22.3   MM     MM
42039  28.787  -86.007 2021 05 25 23 20 130   2.0   3.0   MM  MM   MM  MM 1021.8    MM  25.2  25.8  21.7   MM     MM
42040  29.207  -88.237 2021 05 25 23 20 110   5.0   6.0   MM  MM   MM  MM 1021.0    MM  24.8  25.2  22.2   MM     MM
42045  26.217  -96.500 2021 05 25 21 30 150   7.0   9.0   MM  MM   MM  MM 1015.7    MM  25.2  26.5    MM   MM     MM
42055  22.124  -93.941 2021 05 25 23 20 110   6.0   8.0   MM  MM   MM  MM 1015.8    MM  27.9  28.5  27.0   MM     MM
42056  19.820  -84.945 2021 05 25 23 20  90   8.0  10.0   MM  MM   MM  MM 1017.2    MM  28.4  28.6  24.0   MM     MM
42058  14.389  -74.803 2021 05 25 23 20  80  11.0  13.0   MM  MM   MM  MM 1013.5    MM  28.2  27.6  26.9   MM     MM
42059  15.299  -67.495 2021 05 25 23 20  80   9.0  11.0   MM  MM   MM  MM 1015.0    MM  27.8  27.9  25.1   MM     MM
42060  16.433  -63.331 2021 05 25 23 20  60   7.0   9.0   MM  MM   MM  MM 1016.9    MM  27.5  27.9    MM   MM     MM
42095  24.407  -81.967 2021 05 25 23 00  MM    MM    MM  0.9   4  3.5  99     MM    MM  26.0  26.3    MM   MM     MM
42097  25.701  -83.650 2021 05 25 22 56  MM    MM    MM  0.6   5   MM  MM     MM    MM    MM  25.7    MM   MM     MM
42098  27.590  -82.931 2021 05 25 23 26  MM    MM    MM  0.5   5  3.0 176     MM    MM    MM  26.4    MM   MM     MM
42099  27.345  -84.275 2021 05 25 22 56  MM    MM    MM  0.7   5  4.0 150     MM    MM    MM  25.6    MM   MM     MM
42361  27.550  -92.490 2021 05 25 22 00 120   7.0   8.0   MM  MM   MM  MM     MM    MM  30.3    MM  22.0   MM     MM
42363  28.160  -89.220 2021 05 25 22 00 110   5.0   6.0   MM  MM   MM  MM     MM    MM  26.0    MM  19.2   MM     MM
42365  28.154  -89.104 2021 05 25 23 30  MM   4.0    MM   MM  MM   MM  MM     MM    MM  25.7    MM  18.7   MM     MM
42390  26.129  -94.898 2021 05 25 22 00 120   5.0   9.0   MM  MM   MM  MM     MM    MM  26.0    MM  23.5   MM     MM
