#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
22101  37.24   126.02  2021 05 26 13 00 200   7.0    MM   MM  MM   MM  MM     MM    MM  15.2  13.1    MM   MM     MM
22102  34.79   125.78  2021 05 26 13 00 160   7.0    MM   MM  MM   MM  MM     MM    MM  14.2  14.2    MM   MM     MM
22103  34.00   127.50  2021 05 26 13 00 120   7.0    MM   MM  MM   MM  MM     MM    MM  15.6  16.4    MM   MM     MM
22104  34.77   128.90  2021 05 26 13 00 210   9.0    MM   MM  MM   MM  MM     MM    MM  17.4  17.7    MM   MM     MM
22105  37.54   130.00  2021 05 26 13 00 200   9.0    MM   MM  MM   MM  MM     MM    MM  18.9  17.3    MM   MM     MM
22106  36.35   129.78  2021 05 26 13 00 200   9.0    MM   MM  MM   MM  MM     MM    MM  19.6  17.4    MM   MM     MM
22107  33.08   126.03  2021 05 26 13 00 130  11.0    MM   MM  MM   MM  MM     MM    MM  18.3  18.9    MM   MM     MM
22108  36.25   125.75  2021 05 26 13 00 220   6.0    MM   MM  MM   MM  MM     MM    MM  16.7  14.5    MM   MM     MM
32ST0 -22.000  -85.000 2021 05 26 12 30 130   7.0    MM   MM  MM   MM  MM 1018.5    MM  19.1  20.6  15.1   MM     MM
41008  31.400  -80.866 2021 05 26 12 50 220   7.0   8.0  0.8   4  3.9 186 1023.4  +0.9  23.8  24.0  21.7   MM     MM
41009  28.508  -80.185 2021 05 26 13 40  MM   3.0   4.0   MM  MM   MM  MM 1023.3    MM    MM  26.0    MM   MM     MM
41010  28.878  -78.485 2021 05 26 13 40 140   2.0   3.0   MM  MM   MM  MM 1024.8    MM  24.9    MM  19.3   MM     MM
41013  33.441  -77.764 2021 05 26 13 40 240   4.0   5.0   MM  MM   MM  MM 1022.7    MM    MM  23.5    MM   MM     MM
41024  33.837  -78.477 2021 05 26 13 08 260   6.0   8.0   MM  MM   MM  MM 1024.3    MM  23.7  23.9    MM   MM     MM
41029  32.803  -79.624 2021 05 26 12 08 220   7.0  10.0   MM  MM   MM  MM 1022.4    MM  23.8  23.6    MM   MM     MM
41033  32.279  -80.406 2021 05 26 13 08 200   6.0   8.0   MM  MM   MM  MM 1022.7    MM  23.8  24.1    MM   MM     MM
41037  33.988  -77.362 2021 05 26 13 08 210   6.0   9.0   MM  MM   MM  MM 1022.9    MM  24.2  24.3    MM   MM     MM
41038  34.141  -77.715 2021 05 26 13 08 250   3.0   5.0   MM  MM   MM  MM 1023.2    MM  23.9  23.3    MM   MM     MM
41040  14.541  -53.323 2021 05 26 13 40  90   9.0  12.0   MM  MM   MM  MM 1018.3    MM  26.3  27.1  23.0   MM     MM
41041  14.453  -46.327 2021 05 26 13 40  60   9.0  11.0   MM  MM   MM  MM 1018.3    MM  26.3  26.1  24.0   MM     MM
